meallion-livekit  | 2026-03-09T12:14:33.215Z	INFO	livekit	server/main.go:208	starting in development mode
meallion-livekit  | 2026-03-09T12:22:38.436Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListParticipants	{"service": "RoomService", "method": "ListParticipants", "room": "web-1773058892763", "duration": "253.799µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:22:41.207Z	INFO	livekit.api	service/twirp.go:124	API SIP.ListSIPInboundTrunk	{"service": "SIP", "method": "ListSIPInboundTrunk", "duration": "7.176058ms", "status": "200"}
meallion-livekit  | 2026-03-09T12:22:41.215Z	INFO	livekit.api	service/twirp.go:124	API SIP.ListSIPDispatchRule	{"service": "SIP", "method": "ListSIPDispatchRule", "duration": "1.407061ms", "status": "200"}
meallion-livekit  | 2026-03-09T12:22:41.215Z	INFO	livekit.api	service/twirp.go:124	API SIP.ListSIPInboundTrunk	{"service": "SIP", "method": "ListSIPInboundTrunk", "duration": "362.595µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:22:41.221Z	INFO	livekit.api	service/twirp.go:124	API SIP.ListSIPInboundTrunk	{"service": "SIP", "method": "ListSIPInboundTrunk", "duration": "553.817µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:22:41.236Z	INFO	livekit.api	service/twirp.go:124	API SIP.ListSIPDispatchRule	{"service": "SIP", "method": "ListSIPDispatchRule", "duration": "333.873µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:23:58.761Z	WARN	livekit.transport	rtc/transport.go:782	error reading data channel	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "PUBLISHER", "label": "_lossy", "error": "[0xc001dba3c0] abort chunk, with following errors: (User Initiated Abort: Close called)"}
meallion-livekit  | 2026-03-09T12:23:58.761Z	WARN	livekit.transport	rtc/transport.go:782	error reading data channel	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "PUBLISHER", "label": "_reliable", "error": "[0xc001dba3c0] abort chunk, with following errors: (User Initiated Abort: Close called)"}
meallion-livekit  | 2026-03-09T12:23:58.740Z	INFO	livekit	rtc/participant.go:1033	participant closing	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "sendLeave": true, "reason": "CLIENT_REQUEST_LEAVE", "isExpectedToResume": false}
meallion-livekit  | 2026-03-09T12:23:58.837Z	WARN	livekit.transport.pion.mux	mux/mux.go:166	Warning: mux: no endpoint for packet starting with 21, adding to queue size(0)	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "SUBSCRIBER"}
meallion-livekit  | 2026-03-09T12:23:59.462Z	INFO	livekit	rtc/participant.go:1033	participant closing	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "agent-AJ_8539Pn3mgiTD", "pID": "PA_auL5StRqPZjj", "remote": false, "sendLeave": true, "reason": "CLIENT_REQUEST_LEAVE", "isExpectedToResume": false}
meallion-livekit  | 2026-03-09T12:23:59.473Z	INFO	livekit.agents	agent/worker.go:511	job ended	{"workerID": "AW_aRcpTXaPBjZy", "agentName": "", "jobType": "JT_ROOM", "jobID": "AJ_8539Pn3mgiTD", "status": "JS_FAILED", "error": "agent worker left the room"}
meallion-livekit  | 2026-03-09T12:24:08.094Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "405.561µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:08.095Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListParticipants	{"service": "RoomService", "method": "ListParticipants", "room": "web-1773058892763", "duration": "245.364µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:13.121Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "452.463µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:13.123Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListParticipants	{"service": "RoomService", "method": "ListParticipants", "room": "web-1773058892763", "duration": "320.637µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:18.156Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "328.596µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:18.157Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListParticipants	{"service": "RoomService", "method": "ListParticipants", "room": "web-1773058892763", "duration": "318.664µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:19.225Z	INFO	livekit.room	rtc/room.go:911	closing room	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22"}
meallion-livekit  | 2026-03-09T12:24:19.226Z	INFO	livekit	service/roommanager.go:168	deleting room state	{"room": "web-1773058892763"}
meallion-livekit  | 2026-03-09T12:24:19.228Z	INFO	livekit.room	service/roommanager.go:626	room closed	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22"}
meallion-livekit  | 2026-03-09T12:24:23.180Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "360.028µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:28.211Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "509.173µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:33.237Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "278.278µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:38.270Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "366.586µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:43.308Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "392.998µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:48.338Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "417.764µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:53.371Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "375.721µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:24:58.394Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "217.558µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:25:03.422Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "226.402µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:25:08.442Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "281.107µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:25:13.470Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "240.267µs", "status": "200"}
